date,amount,description
2026-03-21,1000,ATM Withdrawal
2026-03-24,3000,Subscription Fee
2026-03-08,2000,Client Payment
2026-03-22,12000,Travel Expense
2026-03-03,7000,Utility Bill
2026-03-02,1000,Client Payment
2026-03-07,2000,Travel Expense
2026-03-20,1000,Travel Expense
2026-03-07,12000,Travel Expense
2026-03-14,2000,Office Supplies
2026-03-19,3000,ATM Withdrawal
2026-03-25,15000,Vendor Payment
2026-03-23,5000,Salary Payment
2026-03-09,2000,Subscription Fee
2026-03-31,15000,Salary Payment
2026-03-04,1000,Utility Bill
2026-03-04,3000,Salary Payment
2026-03-20,3000,ATM Withdrawal
2026-03-24,5000,Travel Expense
2026-03-04,5000,Client Payment
2026-03-18,3000,Salary Payment
2026-03-19,2000,Client Payment
2026-03-02,12000,Subscription Fee
2026-03-25,3000,Client Payment
2026-03-28,2000,Client Payment
2026-03-13,3000,Office Supplies
2026-03-21,15000,Salary Payment
2026-03-06,3000,Salary Payment
2026-03-07,12000,Bank Charges
2026-03-23,12000,Client Payment
2026-03-20,12000,Vendor Payment
2026-03-18,12000,Subscription Fee
2026-03-06,5000,Utility Bill
2026-03-09,12000,Travel Expense
2026-03-08,12000,Salary Payment
2026-03-27,15000,ATM Withdrawal
2026-03-08,15000,ATM Withdrawal
2026-03-26,3000,Utility Bill
2026-03-09,1000,Subscription Fee
2026-03-30,7000,Salary Payment
2026-03-07,12000,Office Supplies
2026-03-13,12000,Office Supplies
2026-03-05,3000,Vendor Payment
2026-03-08,12000,Travel Expense
2026-03-18,3000,Utility Bill
2026-03-29,7000,Utility Bill
2026-03-12,2000,Vendor Payment
2026-03-17,5000,Client Payment
2026-03-25,1000,Client Payment
2026-03-05,12000,Vendor Payment
2026-03-26,12000,Utility Bill
2026-03-20,1000,Utility Bill
2026-03-13,7000,Office Supplies
2026-03-17,3000,Travel Expense
2026-03-28,1000,Client Payment
2026-03-22,7000,Bank Charges
2026-03-25,12000,Salary Payment
2026-03-04,3000,Utility Bill
2026-03-06,5000,ATM Withdrawal
2026-03-31,12000,Bank Charges
2026-03-17,15000,Vendor Payment
2026-03-17,1000,Bank Charges
2026-03-27,12000,Travel Expense
2026-03-20,2000,Vendor Payment
2026-03-12,15000,Vendor Payment
2026-03-18,15000,Travel Expense
2026-03-30,1000,Salary Payment
2026-03-16,1000,Client Payment
2026-03-30,3000,Bank Charges
2026-03-08,1000,Subscription Fee
2026-03-29,7000,Client Payment
